File Name,Page Identifyer,Dedication,Poem,Italics Present,Small Caps Present,Signature Present,Catch Word Present,Second Person Language,Restored Element,Insert Present,Page Number Present,Line Number Present ,Rhyme
ScienceAPoem.1761.001.jpg,Outside front cover,No,No,No,No,No,No,No,Yes,No,No,No,No
ScienceAPoem.1761.002.jpg,Inside front cover,No,No,No,No,No,No,No,Yes,Yes,No,No,No
ScienceAPoem.1761.003.jpg,First blank page front,No,No,No,No,No,No,No,Yes,Yes,No,No,No
ScienceAPoem.1761.004.jpg,First blank page back,No,No,No,No,No,No,No,Yes,No,No,No,No
ScienceAPoem.1761.005.jpg,Title page,No,No,Yes,Yes,No,No,No,No,No,No,No,No
ScienceAPoem.1761.006.jpg,Back title page,No,No,No,No,No,No,No,No,No,No,No,No
ScienceAPoem.1761.007.jpg,Page iii,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No
ScienceAPoem.1761.008.jpg,Page iv,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No
ScienceAPoem.1761.009.jpg,Poem beginning,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
ScienceAPoem.1761.010.jpg,Page 6,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
ScienceAPoem.1761.011.jpg,Page 7,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
ScienceAPoem.1761.012.jpg,Page 8,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
ScienceAPoem.1761.013.jpg,Page 9,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
ScienceAPoem.1761.014.jpg,Page 10,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
ScienceAPoem.1761.015.jpg,Page 11,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
ScienceAPoem.1761.016.jpg,Page 12,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
ScienceAPoem.1761.017.jpg,Page 13,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
ScienceAPoem.1761.018.jpg,Page 14,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
ScienceAPoem.1761.019.jpg,Page 15,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
ScienceAPoem.1761.020.jpg,Page 16,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
ScienceAPoem.1761.021.jpg,Page 17,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
ScienceAPoem.1761.022.jpg,Page 18,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
ScienceAPoem.1761.023.jpg,Page 19,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes
ScienceAPoem.1761.024.jpg,Back of last page,No,No,No,No,No,No,No,No,No,No,No,No
ScienceAPoem.1761.025.jpg,Last blank page front,No,No,No,No,No,No,No,Yes,No,No,No,No
ScienceAPoem.1761.026.jpg,Last blank page Back,No,No,No,No,No,No,No,Yes,No,No,No,No
ScienceAPoem.1761.027.jpg,Inside back cover,No,No,No,No,No,No,No,Yes,No,No,No,No
ScienceAPoem.1761.028.jpg,Outside back cover,No,No,No,No,No,No,No,Yes,No,No,No,No
